Team_Instance_Name,Change_Request_Name,Status
Base_15Mar,CR-00002928,Rejected
Base_15Mar,CR-00002931,Approved
Base_15Mar,CR-00002880,Approved
Base_15Mar,CR-00003523,Pending
Base_23Nov,CR-00001076,Approved
Base_23Nov,CR-00001282,Cancelled
Base_23Nov,CR-00001283,Rejected
Base_23Nov,CR-00001204,Approved
Base_23Nov,CR-00002089,Approved
Base_23Nov,CR-00001407,Approved
Base_23Nov,CR-00001406,Approved
Base_23Nov,CR-00001497,Rejected
Base_23Nov,CR-00002440,Pending
Base_23Nov,CR-00001410,Approved
Base_23Nov,CR-00001306,Approved
Base_23Nov,CR-00001087,Approved
Base_23Nov,CR-00001305,Approved
Base_23Nov,CR-00001408,Approved
Base_23Nov,CR-00001284,Cancelled
Base_23Nov,CR-00001285,Rejected
Base_23Nov,CR-00001144,Approved
Base_23Nov,CR-00001191,Approved
Base_23Nov,CR-00001142,Approved
BASE_HYBRID1,CR-00002839,Pending
BASE_HYBRID1,CR-00002843,Approved
BASE_HYBRID1,CR-00002861,Pending
BASE_HYBRID1,CR-00002955,Pending
BASE_HYBRID1,CR-00002954,Rejected
BASE_HYBRID1,CR-00002851,Approved
BASE_HYBRID1,CR-00002845,Approved
BASE_HYBRID1,CR-00002953,Approved
BASE_HYBRID1,CR-00002852,Approved
BASE_HYBRID1,CR-00002842,Pending
BASE_HYBRID1,CR-00002844,Approved
BASE_HYBRID1,CR-00002838,Pending
BASE_HYBRID1,CR-00002841,Approved
BASE_HYBRID1,CR-00002840,Approved
BASE_HYBRID1,CR-00002856,Approved
BASE_HYBRID1,CR-00002855,Approved
BASE_HYBRID1,CR-00002859,Approved
BASE_HYBRID1,CR-00002858,Approved
